Year_BP,CH4_mean,CO2_ppmv,Temperature_Anomaly
13,907.0,307.41,
13,907.0,307.41,0.63
13,907.0,391.85,
13,907.0,391.85,0.63
13,,307.41,
13,,307.41,0.63
13,,391.85,
13,,391.85,0.63
126,784.0,,-0.19
130,762.0,,-0.34
151,710.0,,-0.22
184,727.0,,
202,696.0,,
207,683.0,,
258,679.0,,
297,676.0,,
345,651.0,,
382,684.0,,-1.53
403,681.0,,
459,670.0,,
478,644.0,,-0.8
533,670.0,,
539,668.0,279.7,
554,680.0,,0.7
668,667.0,,
678,669.0,,
736,680.0,,
742,643.0,,
861,664.0,,-1.03
869,647.0,,
897,648.0,,
939,640.0,,
946,636.0,,-0.55
1037,635.0,,
1092,633.0,,
1132,644.0,,1.55
1217,643.0,,
1225,629.0,,
1248,635.0,277.1,
1338,635.0,,
1349,650.0,,
1431,631.0,,-0.7
1443,638.0,,
1527,632.0,,
1551,630.0,,
1620,610.0,,-0.84
1629,623.0,,
1677,623.0,,
1717,615.0,,
1726,623.0,,
1774,618.0,,
1793,613.0,,
1907,613.0,,
1951,605.0,,
1995,599.0,,
2045,604.0,,
2104,591.0,,
2115,594.0,,
2119,609.0,,
2208,602.0,,
2275,597.0,,
2309,595.0,,
2321,594.0,,
2325,597.0,,
2389,593.0,,
2414,604.0,277.6,
2424,592.0,,
2482,579.0,,
2515,603.0,,
2519,590.0,,
2602,592.0,,
2624,586.0,,0.85
2717,590.0,,
2720,580.0,,
2724,588.0,,
2735,583.0,,
2793,580.0,,
2800,578.0,,
2857,577.0,,
2877,577.0,,
2998,581.0,,
3026,573.0,,
3107,576.0,,
3139,589.0,,
3210,568.0,,
3308,581.0,,
3360,589.0,,
3433,573.0,,
3506,570.0,,
3517,560.0,,
3572,575.0,,
3602,596.0,,
3614,578.0,,
3690,578.0,,1.03
3697,581.0,,
3773,576.0,,
3892,574.0,,
3905,578.0,,
3965,575.0,,
3986,549.0,,
3994,568.0,,
4079,576.0,,
4082,563.0,,
4142,570.0,,
4173,582.0,,0.06
4305,577.0,,
4309,568.0,,
4325,579.0,,
4357,584.0,,
4366,570.0,,
4440,570.0,,
4461,568.0,,
4471,582.0,,
4474,562.0,,
4496,580.0,,
4551,560.0,,
4589,580.0,,
4625,560.0,,
4683,563.0,,
4701,560.0,,-0.38
4740,570.0,,-0.76
4755,563.0,,
4823,579.0,,
4849,570.0,,
4864,573.0,,
4868,568.0,,
5002,561.0,,
5068,563.0,,
5112,551.0,,
5149,553.0,,
5156,558.0,,0.56
5221,574.0,,
5270,561.0,,
5272,564.0,,
5337,577.0,,
5364,565.0,,
5418,570.0,,
5458,566.0,,
5474,580.0,,-0.06
5526,581.0,,
5550,563.0,,
5557,568.0,,
5598,591.0,,
5643,571.0,,
5651,578.0,,
5653,570.0,,
5657,581.0,,
5684,584.0,,
5712,586.0,,
5834,575.0,,
5870,570.0,,
5915,584.0,,
5989,564.0,,
